Prov,City,Neighbourhood,Qty,Supplied
BC,SURREY,,6036,10000
BC,SURREY,V3R 0,4097,10000
BC,SURREY,V3R 1,1427,10000
BC,SURREY,V3R 2,1442,10000
BC,SURREY,V3R 3,1489,10000
BC,SURREY,V3R 4,1723,10000
BC,SURREY,V3R 5,1378,10000
BC,SURREY,V3R 6,1094,10000
BC,SURREY,V3R 7,1880,10000
BC,SURREY,V3R 8,1095,10000
BC,SURREY,V3R 9,1100,10000
BC,SURREY,V3S 0,1652,10000
BC,SURREY,V3S 1,3141,10000
BC,SURREY,V3S 2,2447,10000
BC,SURREY,V3S 3,2357,10000
BC,SURREY,V3S 4,2242,10000
BC,SURREY,V3S 5,2303,10000
BC,SURREY,V3S 6,1851,10000
BC,SURREY,V3S 7,4078,10000
BC,SURREY,V3S 8,4212,10000
BC,SURREY,V3S 9,2161,10000
BC,SURREY,V3T 0,4333,10000
BC,SURREY,V3T 1,1841,10000
BC,SURREY,V3T 2,879,10000
BC,SURREY,V3T 3,1374,10000
BC,SURREY,V3T 4,1812,10000
BC,SURREY,V3T 5,2808,10000
BC,SURREY,V3V 0,375,10000
BC,SURREY,V3V 1,1874,10000
BC,SURREY,V3V 2,1341,10000
BC,SURREY,V3V 3,942,10000
BC,SURREY,V3V 4,1178,10000
BC,SURREY,V3V 5,1319,10000
BC,SURREY,V3V 6,1528,10000
BC,SURREY,V3V 7,1825,10000
BC,SURREY,V3V 8,400,10000
BC,SURREY,V3W 0,4450,10000
BC,SURREY,V3W 1,4843,10000
BC,SURREY,V3W 2,1943,10000
BC,SURREY,V3W 3,2500,10000
BC,SURREY,V3W 4,1510,10000
BC,SURREY,V3W 5,2487,10000
BC,SURREY,V3W 6,2221,10000
BC,SURREY,V3W 7,2010,10000
BC,SURREY,V3W 8,986,10000
BC,SURREY,V3W 9,967,10000
BC,SURREY,V3X 0,1635,10000
BC,SURREY,V3X 1,1997,10000
BC,SURREY,V3X 2,2126,10000
BC,SURREY,V3X 3,1820,10000
BC,SURREY,V3Z 0,4017,10000
BC,SURREY,V3Z 1,962,10000
BC,SURREY,V3Z 2,1764,10000
BC,SURREY,V3Z 3,720,10000
BC,SURREY,V3Z 4,334,10000
BC,SURREY,V3Z 5,243,10000
BC,SURREY,V3Z 6,670,10000
BC,SURREY,V3Z 7,311,10000
BC,SURREY,V3Z 8,641,10000
BC,SURREY,V3Z 9,2035,10000
BC,SURREY,V4A 0,172,10000
BC,SURREY,V4A 1,2626,10000
BC,SURREY,V4A 2,1208,10000
BC,SURREY,V4A 3,1216,10000
BC,SURREY,V4A 4,1662,10000
BC,SURREY,V4A 5,1261,10000
BC,SURREY,V4A 6,2187,10000
BC,SURREY,V4A 7,1409,10000
BC,SURREY,V4A 8,2130,10000
BC,SURREY,V4A 9,3100,10000
BC,SURREY,V4B 1,4,10000
BC,SURREY,V4N 0,5304,10000
BC,SURREY,V4N 1,3156,10000
BC,SURREY,V4N 2,1912,10000
BC,SURREY,V4N 3,2337,10000
BC,SURREY,V4N 4,2355,10000
BC,SURREY,V4N 5,4982,10000
BC,SURREY,V4N 6,4518,10000
BC,SURREY,V4P 0,663,10000
BC,SURREY,V4P 1,2757,10000
BC,SURREY,V4P 2,798,10000
BC,SURREY,V4P 3,1477,10000
BC,SURREY,V4P 9,5,10000
